outcome,feature_set,model,threshold,precision,recall,f1,accuracy,specificity,TP,FP,TN,FN
high_debt_burden,full,Logistic L2,0.41000000000000003,0.7867161716171617,0.8648526077097506,0.8239360553035212,0.8468045112781954,0.8340288924558588,1907,517,2598,298
high_debt_burden,full,Logistic L2,0.42,0.7915798249270529,0.8612244897959184,0.8249348392701997,0.8484962406015037,0.8394863563402889,1899,500,2615,306
high_debt_burden,full,Logistic L2,0.43,0.7937841243175137,0.8571428571428571,0.8242477104230266,0.8484962406015037,0.8423756019261637,1890,491,2624,315
high_debt_burden,full,Logistic L2,0.44,0.7969478592623993,0.8526077097505669,0.8238387379491674,0.8488721804511278,0.8462279293739968,1880,479,2636,325
high_debt_burden,full,Logistic L2,0.45,0.7983802216538789,0.8494331065759637,0.8231157987255548,0.8486842105263158,0.8481540930979133,1873,473,2642,332
high_debt_burden,full,Logistic L2,0.46,0.8032716315109771,0.8462585034013606,0.8242049469964664,0.850375939849624,0.8532905296950241,1866,457,2658,339
high_debt_burden,full,Logistic L2,0.47000000000000003,0.8066898349261512,0.8421768707482993,0.8240514754825827,0.8509398496240601,0.8571428571428571,1857,445,2670,348
high_debt_burden,full,Logistic L2,0.48,0.8110477860587462,0.8390022675736961,0.8247882300490414,0.8522556390977444,0.8616372391653291,1850,431,2684,355
high_debt_burden,full,Logistic L2,0.49,0.8139637649138312,0.8353741496598639,0.8245299910474484,0.8526315789473684,0.8648475120385233,1842,421,2694,363
high_debt_burden,full,Logistic L2,0.5,0.8171275646743978,0.8308390022675737,0.823926242410614,0.8528195488721805,0.8683788121990369,1832,410,2705,373
high_debt_burden,full,Logistic L2,0.51,0.8212516884286357,0.8272108843537415,0.8242205151378219,0.8537593984962406,0.8725521669341894,1824,397,2718,381
high_debt_burden,full,Logistic L2,0.52,0.8239564428312159,0.8235827664399092,0.8237695622590157,0.8539473684210527,0.8754414125200642,1816,388,2727,389
high_debt_burden,full,Logistic L2,0.53,0.8273809523809523,0.8195011337868481,0.8234221918432444,0.8543233082706767,0.8789727126805779,1807,377,2738,398
high_debt_burden,full,Logistic L2,0.54,0.8285582255083179,0.8131519274376418,0.8207827878233006,0.8528195488721805,0.8808988764044944,1793,371,2744,412
high_debt_burden,full,Logistic L2,0.55,0.8325537885874649,0.8072562358276644,0.8197098779645406,0.8528195488721805,0.8850722311396468,1780,358,2757,425
high_debt_burden,full,Logistic L2,0.56,0.8348277489381783,0.8022675736961451,0.8182238667900092,0.8522556390977444,0.8876404494382022,1769,350,2765,436
high_debt_burden,full,Logistic L2,0.5700000000000001,0.8357924797715374,0.7963718820861678,0.8156061309800279,0.8507518796992481,0.8892455858747994,1756,345,2770,449
high_debt_burden,full,Logistic L2,0.58,0.8384763741562199,0.7886621315192743,0.8128067305445197,0.8494360902255639,0.8924558587479936,1739,335,2780,466
high_debt_burden,full,Logistic L2,0.59,0.8404878048780487,0.78140589569161,0.809870740305523,0.8479323308270676,0.895024077046549,1723,327,2788,482
high_debt_burden,full,Logistic L2,0.6,0.8422090729783037,0.7746031746031746,0.8069926765887078,0.8464285714285714,0.8972712680577849,1708,320,2795,497
high_debt_burden,full,Logistic L2,0.61,0.8447329006490265,0.7673469387755102,0.8041825095057035,0.8451127819548873,0.9001605136436597,1692,311,2804,513
high_debt_burden,full,Logistic L2,0.62,0.8470055359838953,0.763265306122449,0.8029580152671756,0.8447368421052631,0.9024077046548956,1683,304,2811,522
high_debt_burden,full,Logistic L2,0.63,0.8485772357723578,0.7573696145124716,0.800383417205847,0.843421052631579,0.9043338683788122,1670,298,2817,535
high_debt_burden,full,Logistic L2,0.64,0.8513164687661332,0.7478458049886622,0.7962337035248671,0.8413533834586466,0.9075441412520064,1649,288,2827,556
high_debt_burden,full,Logistic L2,0.65,0.8548895899053628,0.7374149659863946,0.7918188458728999,0.8392857142857143,0.9113964686998395,1626,276,2839,579
high_debt_burden,full,Logistic L2,0.66,0.8556263269639066,0.7310657596371882,0.7884568354120812,0.8374060150375939,0.9126805778491172,1612,272,2843,593
high_debt_burden,full,Logistic L2,0.67,0.8596869940636805,0.7224489795918367,0.7851158206012815,0.8360902255639098,0.9165329052969502,1593,260,2855,612
high_debt_burden,full,Logistic L2,0.68,0.8602620087336245,0.7147392290249434,0.7807778053009661,0.8336466165413534,0.9178170144462279,1576,256,2859,629
high_debt_burden,full,Logistic L2,0.6900000000000001,0.8615725359911407,0.7056689342403628,0.7758663674894041,0.831015037593985,0.9197431781701445,1556,250,2865,649
high_debt_burden,full,Logistic L2,0.7000000000000001,0.8622047244094488,0.6952380952380952,0.7697715289982425,0.8276315789473684,0.9213483146067416,1533,245,2870,672
high_debt_burden,full,Logistic L2,0.71,0.8671607753705816,0.689795918367347,0.7683758524880021,0.8276315789473684,0.9252006420545746,1521,233,2882,684
high_debt_burden,full,Logistic L2,0.72,0.8714202220923437,0.6761904761904762,0.761491317671093,0.8244360902255639,0.9293739967897271,1491,220,2895,714
high_debt_burden,full,Logistic L2,0.73,0.8764916467780429,0.6662131519274377,0.7570213862406597,0.8227443609022557,0.9335473515248797,1469,207,2908,736
high_debt_burden,full,Logistic L2,0.74,0.8771393643031785,0.6507936507936508,0.7472012496745639,0.8174812030075188,0.9354735152487962,1435,201,2914,770
high_debt_burden,full,Logistic L2,0.75,0.8806995627732667,0.6394557823129252,0.7409353652128219,0.8146616541353383,0.9386837881219904,1410,191,2924,795
high_debt_burden,full,Logistic L2,0.76,0.8808158062460165,0.6267573696145124,0.7323794382617911,0.8101503759398496,0.9399678972712681,1382,187,2928,823
high_debt_burden,full,Logistic L2,0.77,0.8845901639344262,0.6117913832199546,0.7233243967828418,0.806015037593985,0.9434991974317817,1349,176,2939,856
high_debt_burden,full,Logistic L2,0.78,0.8899456521739131,0.5941043083900227,0.7125373946151755,0.8013157894736842,0.9479935794542537,1310,162,2953,895
high_debt_burden,full,Logistic L2,0.79,0.8905058905058905,0.5827664399092971,0.7044956140350879,0.7973684210526316,0.9492776886035313,1285,158,2957,920
high_debt_burden,full,Logistic L2,0.8,0.8945480631276901,0.5655328798185941,0.6929702695193108,0.7922932330827067,0.952808988764045,1247,147,2968,958
high_debt_burden,full,Logistic L2,0.81,0.8986486486486487,0.5428571428571428,0.6768447837150127,0.7851503759398496,0.956661316211878,1197,135,2980,1008
high_debt_burden,full,Logistic L2,0.8200000000000001,0.9028213166144201,0.5224489795918368,0.6618787704682564,0.7787593984962407,0.9601926163723916,1152,124,2991,1053
high_debt_burden,full,Logistic L2,0.8300000000000001,0.9034369885433715,0.5006802721088436,0.6442953020134228,0.7708646616541354,0.9621187800963081,1104,118,2997,1101
high_debt_burden,full,Logistic L2,0.84,0.9056277056277057,0.4743764172335601,0.6226190476190476,0.7616541353383459,0.965008025682183,1046,109,3006,1159
high_debt_burden,full,Logistic L2,0.85,0.9098360655737705,0.4530612244897959,0.6049046321525886,0.7546992481203008,0.9682182985553772,999,99,3016,1206
high_debt_burden,full,Logistic L2,0.86,0.9118773946360154,0.43174603174603177,0.5860264696829794,0.7471804511278195,0.9704654895666132,952,92,3023,1253
